segment_id,priority_rank,risk_score,risk_tier,canopy_sqft_per_ft,proximity_score,proximity_dist_ft,nearest_facility_type,length_ft
8348,1,0.8,High,13944.35,3,499.65,fire_station,0.02
58474,2,0.41,High,3009.25,3,446.82,fire_station,0.07
80262,3,0.36,High,7.39,3,452.06,fire_station,271.67
62827,4,0.36,High,10.92,3,302.19,fire_station,261.81
63320,5,0.35,High,7.73,3,449.63,fire_station,259.72
71050,6,0.35,High,2.59,3,311.35,fire_station,259.74
60876,7,0.35,High,10.86,3,402.52,fire_station,250.2
36879,8,0.35,High,0.0,3,464.94,fire_station,228.14
49371,9,0.35,High,0.0,3,459.25,fire_station,226.37
40073,10,0.35,High,0.0,3,380.62,fire_station,224.57
56512,11,0.35,High,19.69,3,482.47,hospital,216.49
4150,12,0.35,High,18.62,3,100.0,fire_station,214.56
52668,13,0.35,High,1.61,3,483.84,fire_station,216.84
68438,14,0.34,High,3.11,3,337.24,fire_station,206.8
72766,15,0.34,High,0.0,3,398.59,fire_station,205.85
94270,16,0.34,High,5.66,3,346.06,hospital,204.71
41955,17,0.34,High,10.59,3,471.82,fire_station,201.04
103465,18,0.34,High,6.56,3,450.52,fire_station,201.54
21915,19,0.34,High,1.61,3,70.28,fire_station,198.56
83032,20,0.34,High,0.44,3,111.88,fire_station,198.21
46216,21,0.34,High,1.93,3,499.63,fire_station,197.88
84577,22,0.34,High,2.0,3,329.95,fire_station,197.71
101071,23,0.34,High,4.81,3,324.11,fire_station,196.56
52392,24,0.34,High,0.0,3,423.77,fire_station,197.14
28431,25,0.34,High,10.68,3,459.59,fire_station,192.96
